iter	Passed	Remaining
0	61	61246
1	61	30733
2	61	20549
3	62	15461
4	62	12404
5	62	10371
6	62	8923
7	63	7833
8	63	6987
9	63	6313
10	64	5763
11	64	5302
12	64	4910
13	64	4574
14	65	4281
15	65	4024
16	65	3798
17	65	3596
18	66	3415
19	66	3253
20	66	3108
21	66	2976
22	67	2858
23	67	2746
24	67	2642
25	67	2546
26	68	2458
27	68	2375
28	68	2298
29	68	2227
30	69	2160
31	69	2098
32	69	2039
33	69	1985
34	70	1933
35	70	1884
36	70	1841
37	71	1799
38	71	1759
39	71	1719
40	71	1682
41	72	1645
42	72	1611
43	72	1578
44	72	1546
45	73	1516
46	73	1487
47	73	1459
48	73	1432
49	74	1408
50	74	1383
51	74	1360
52	74	1337
53	75	1315
54	75	1294
55	75	1274
56	75	1253
57	76	1234
58	76	1216
59	76	1198
60	76	1181
61	77	1165
62	77	1149
63	77	1133
64	77	1118
65	77	1103
66	78	1089
67	78	1075
68	78	1061
69	79	1049
70	79	1037
71	79	1024
72	79	1012
73	79	1000
74	80	989
75	80	978
76	80	967
77	80	957
78	81	946
79	81	936
80	81	926
81	81	916
82	81	905
83	82	896
84	82	888
85	82	879
86	82	870
87	83	862
88	83	854
89	83	846
90	83	838
91	84	830
92	84	823
93	84	815
94	84	808
95	85	801
96	85	794
97	85	787
98	85	781
99	86	775
100	86	769
101	86	763
102	86	757
103	87	751
104	87	745
105	87	739
106	87	733
107	88	727
108	88	722
109	88	717
110	89	713
111	89	707
112	89	702
113	89	697
114	89	692
115	90	687
116	90	681
117	90	677
118	90	672
119	91	668
120	91	663
121	91	658
122	91	654
123	92	649
124	92	645
125	92	641
126	92	637
127	92	633
128	93	629
129	93	625
130	93	621
131	93	617
132	94	613
133	94	609
134	94	606
135	94	602
136	95	599
137	95	595
138	95	591
139	95	588
140	96	585
141	96	581
142	96	577
143	96	574
144	96	571
145	97	568
146	97	565
147	97	561
148	97	558
149	98	555
150	98	552
151	98	549
152	98	546
153	98	543
154	99	540
155	99	537
156	99	535
157	99	532
158	100	529
159	100	527
160	100	523
161	100	521
162	101	518
163	101	517
164	101	514
165	101	512
166	102	509
167	102	507
168	102	504
169	102	502
170	103	499
171	103	497
172	103	495
173	103	493
174	104	490
175	104	488
176	104	486
177	104	484
178	105	481
179	105	479
180	105	477
181	105	475
182	106	473
183	106	471
184	106	469
185	106	466
186	106	464
187	107	462
188	107	460
189	107	458
190	107	456
191	108	455
192	108	453
193	108	451
194	108	449
195	109	447
196	109	445
197	109	444
198	109	442
199	110	440
200	110	438
201	110	436
202	110	435
203	111	433
204	111	431
205	111	430
206	111	428
207	112	426
208	112	424
209	112	423
210	112	421
211	112	419
212	113	418
213	113	416
214	113	415
215	113	413
216	114	411
217	114	410
218	114	408
219	114	407
220	115	405
221	115	404
222	115	402
223	115	401
224	116	399
225	116	398
226	116	396
227	116	395
228	117	394
229	117	392
230	117	391
231	117	389
232	118	388
233	118	387
234	118	385
235	118	384
236	118	383
237	119	381
238	119	380
239	119	379
240	119	377
241	120	376
242	120	375
243	120	374
244	120	372
245	121	371
246	121	370
247	121	368
248	121	367
249	122	366
250	122	365
251	122	363
252	122	362
253	123	361
254	123	360
255	123	359
256	123	358
257	124	356
258	124	355
259	124	354
260	124	353
261	125	352
262	125	351
263	125	350
264	125	349
265	126	348
266	126	347
267	126	345
268	126	344
269	127	343
270	127	342
271	127	341
272	127	340
273	128	339
274	128	338
275	128	337
276	128	336
277	129	335
278	129	334
279	129	333
280	129	331
281	129	330
282	130	329
283	130	329
284	130	327
285	130	326
286	131	325
287	131	324
288	131	323
289	131	322
290	132	321
291	132	321
292	132	320
293	132	319
294	133	318
295	133	317
296	133	316
297	134	315
298	134	314
299	134	313
300	134	313
301	135	312
302	135	311
303	135	310
304	135	309
305	136	308
306	136	307
307	136	306
308	136	305
309	136	304
310	137	303
311	137	303
312	137	302
313	138	301
314	138	300
315	138	299
316	138	298
317	138	298
318	139	297
319	139	296
320	139	295
321	139	294
322	140	293
323	140	292
324	140	291
325	140	291
326	141	290
327	141	289
328	141	288
329	141	287
330	141	286
331	142	286
332	142	285
333	142	284
334	142	283
335	143	282
336	143	282
337	143	281
338	143	280
339	144	279
340	144	278
341	144	278
342	144	277
343	145	276
344	145	275
345	145	274
346	145	274
347	145	273
348	146	272
349	146	271
350	146	271
351	146	270
352	147	269
353	147	268
354	147	268
355	147	267
356	148	266
357	148	266
358	148	265
359	148	264
360	149	263
361	149	263
362	149	262
363	149	261
364	149	260
365	150	260
366	150	259
367	150	258
368	150	258
369	151	257
370	151	256
371	151	256
372	151	255
373	152	254
374	152	253
375	152	253
376	152	252
377	153	251
378	153	251
379	153	250
380	153	250
381	154	249
382	154	248
383	154	248
384	154	247
385	155	246
386	155	246
387	155	245
388	155	244
389	155	243
390	156	243
391	156	242
392	156	242
393	156	241
394	157	240
395	157	240
396	157	239
397	157	238
398	158	238
399	158	237
400	158	236
401	158	236
402	159	235
403	159	234
404	159	234
405	159	233
406	159	233
407	160	232
408	160	231
409	160	231
410	160	230
411	161	229
412	161	229
413	161	228
414	161	228
415	161	227
416	162	226
417	162	226
418	162	225
419	162	224
420	163	224
421	163	223
422	163	223
423	163	222
424	164	222
425	164	221
426	164	220
427	164	220
428	165	219
429	165	219
430	165	218
431	165	218
432	166	217
433	166	216
434	166	216
435	166	215
436	167	215
437	167	214
438	167	214
439	167	213
440	168	213
441	168	212
442	168	211
443	168	211
444	169	210
445	169	210
446	169	209
447	169	209
448	170	208
449	170	208
450	170	207
451	170	206
452	170	206
453	171	205
454	171	205
455	171	204
456	171	204
457	172	203
458	172	203
459	172	202
460	172	202
461	173	201
462	173	200
463	173	200
464	173	199
465	173	199
466	174	198
467	174	198
468	174	197
